nasa_tavg,nasa_tmin,nasa_tmax,nasa_prcp,nasa_wspd,nasa_wpgt,humidity,nasa_pres,solar_radiation,date,location_key,location_name,latitude,longitude,elevation_m
5.53,1.43,12.51,0.0,1.17,2.68,23.9,79.3,12.47,2000-01-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
6.33,1.69,13.85,0.0,1.17,2.49,21.98,79.28,12.64,2000-01-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
6.3,1.72,14.26,0.0,1.29,3.13,20.08,79.11,12.79,2000-01-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.61,2.3,12.38,0.0,1.25,3.06,20.57,79.06,13.0,2000-01-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.18,1.15,11.55,0.0,1.2,2.76,23.52,79.18,12.78,2000-01-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.48,2.14,11.63,0.0,1.03,2.21,23.49,79.13,12.36,2000-01-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.34,2.42,9.92,0.0,1.03,2.35,30.44,79.07,6.36,2000-01-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.13,-1.18,8.29,0.0,1.24,3.09,43.83,78.94,8.95,2000-01-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.85,-1.95,5.23,0.1,1.14,3.1,70.69,78.75,7.11,2000-01-09,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.57,-2.53,7.08,0.03,1.12,2.3,48.47,78.9,10.85,2000-01-10,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.3,-2.46,0.76,0.93,1.17,2.34,81.07,78.84,2.81,2000-01-11,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.11,-2.51,1.6,3.02,0.77,1.17,90.67,78.51,2.83,2000-01-12,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.36,-3.06,1.89,8.15,0.93,2.6,91.88,78.34,3.56,2000-01-13,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-2.94,-5.37,-0.1,0.0,1.0,2.47,76.18,78.42,5.03,2000-01-14,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-3.42,-5.75,0.47,0.0,0.84,1.78,59.38,78.72,10.54,2000-01-15,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-2.8,-6.28,2.96,0.0,1.31,2.02,42.54,79.12,12.33,2000-01-16,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.89,-6.48,5.8,0.0,1.36,2.56,42.46,79.36,6.96,2000-01-17,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.09,-2.93,3.47,0.08,1.1,2.27,80.08,79.4,5.45,2000-01-18,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.5,-3.21,6.73,0.0,1.23,2.74,64.53,79.03,11.66,2000-01-19,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.41,-4.98,9.61,0.0,1.39,2.18,31.71,78.75,13.42,2000-01-20,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.66,-4.26,8.67,0.0,1.53,2.72,33.48,78.79,12.74,2000-01-21,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.38,-3.55,7.44,0.0,1.29,2.64,59.16,79.07,10.69,2000-01-22,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.56,-2.98,7.98,0.03,1.42,2.78,54.52,79.07,13.57,2000-01-23,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.25,-2.73,4.74,0.16,1.14,1.79,63.7,79.11,12.27,2000-01-24,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.13,-2.61,3.68,0.29,1.37,3.69,86.22,79.16,4.59,2000-01-25,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.21,-3.12,4.6,0.01,1.17,2.56,69.58,79.25,6.07,2000-01-26,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.42,-4.08,7.73,0.0,1.38,2.69,46.44,79.3,14.28,2000-01-27,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.9,-3.6,10.13,0.0,1.4,2.62,31.49,79.4,14.33,2000-01-28,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.35,-1.73,14.34,0.0,1.56,2.92,28.91,79.36,13.93,2000-01-29,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
6.04,0.02,13.44,0.02,1.52,3.0,36.51,79.19,6.05,2000-01-30,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.11,-1.7,1.8,8.45,1.02,1.72,83.24,78.91,2.75,2000-01-31,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.28,-4.75,2.12,14.56,1.09,1.9,81.69,78.7,4.68,2000-02-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.59,-6.74,3.08,0.54,1.23,2.11,63.33,78.92,9.78,2000-02-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.01,-3.9,4.97,0.0,1.3,2.65,60.01,79.14,13.68,2000-02-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.19,-3.27,5.35,0.13,1.13,2.17,62.28,78.85,15.16,2000-02-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.63,-7.26,9.55,0.01,1.39,2.83,43.34,78.57,15.49,2000-02-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.51,-4.03,7.58,0.0,1.32,2.64,40.53,78.91,15.88,2000-02-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.73,-5.42,8.55,0.0,1.56,2.71,41.23,78.92,16.12,2000-02-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.41,-5.27,5.18,0.0,1.27,2.51,52.94,78.84,14.6,2000-02-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.94,-3.56,0.41,4.13,1.02,2.43,88.2,78.77,2.82,2000-02-09,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.31,-4.71,3.02,1.08,1.06,2.27,75.76,78.52,11.88,2000-02-10,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.69,-5.35,2.96,1.03,1.07,2.08,60.79,78.46,13.76,2000-02-11,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.77,-4.32,4.56,0.08,1.09,2.19,56.95,78.79,14.16,2000-02-12,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.51,-5.75,8.23,0.0,1.43,2.85,40.59,79.03,17.06,2000-02-13,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.29,-4.61,9.92,0.0,1.5,2.75,34.62,79.18,17.36,2000-02-14,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.2,-2.28,8.17,0.04,1.38,2.93,46.27,79.02,9.32,2000-02-15,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.72,-2.96,3.51,0.01,1.27,3.03,78.51,78.67,11.06,2000-02-16,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.86,-4.91,3.6,0.0,1.18,2.55,63.11,78.62,12.84,2000-02-17,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-1.21,-6.51,5.19,0.39,1.52,3.0,48.8,78.68,16.84,2000-02-18,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.76,-6.03,5.43,0.19,1.42,2.87,47.58,78.79,15.96,2000-02-19,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.62,-6.7,6.7,0.65,1.58,3.09,41.73,78.79,15.46,2000-02-20,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.81,-4.94,4.68,0.55,1.37,2.79,44.34,78.93,16.61,2000-02-21,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.05,-5.06,5.67,0.0,1.31,2.53,45.13,79.09,17.68,2000-02-22,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
0.92,-3.6,6.58,0.07,1.43,2.81,47.98,79.17,15.2,2000-02-23,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.26,-6.16,9.69,0.0,1.48,2.85,38.71,79.15,19.32,2000-02-24,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.7,-5.51,11.08,0.0,1.29,2.56,25.51,78.93,19.63,2000-02-25,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.92,-3.97,10.49,0.0,1.72,3.67,26.2,78.82,19.19,2000-02-26,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.38,-0.89,9.33,0.73,1.38,3.33,40.19,78.94,12.19,2000-02-27,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
4.25,-2.21,10.83,0.1,1.34,2.96,46.59,79.22,18.6,2000-02-28,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
4.13,-0.76,9.96,0.15,1.36,3.19,57.8,79.03,17.63,2000-02-29,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.55,-3.18,10.25,0.01,1.62,3.17,49.92,78.77,17.95,2000-03-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
2.52,-2.87,8.74,0.0,1.64,3.49,48.16,78.7,18.03,2000-03-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.32,-4.45,6.74,0.01,1.35,2.0,50.35,78.82,10.45,2000-03-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
-0.9,-2.56,1.1,0.54,1.42,2.39,83.64,78.39,3.31,2000-03-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
1.99,-3.06,8.75,0.0,1.58,3.44,50.11,78.76,19.14,2000-03-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.15,-3.65,10.47,0.1,1.59,3.1,38.44,78.68,15.6,2000-03-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
3.07,-1.43,9.08,0.11,1.12,1.84,46.68,78.94,19.41,2000-03-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
4.56,-3.43,12.73,0.0,1.69,3.39,35.98,79.07,21.48,2000-03-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
6.06,-2.8,14.93,0.0,1.62,3.47,26.25,78.8,21.95,2000-03-09,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
7.54,0.43,14.04,0.29,1.61,3.75,34.64,78.66,20.3,2000-03-10,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.38,-1.03,11.61,0.31,1.37,3.31,52.47,78.58,16.28,2000-03-11,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.71,-0.87,13.22,0.0,1.51,3.12,40.34,78.53,21.95,2000-03-12,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.89,0.58,12.79,0.0,1.54,3.39,29.74,78.65,20.34,2000-03-13,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.6,-1.35,12.98,0.0,1.69,3.59,32.92,78.97,19.28,2000-03-14,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
6.46,-1.54,14.01,0.28,1.77,3.92,32.52,78.94,22.46,2000-03-15,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.48,0.66,11.09,3.91,1.08,2.24,47.01,78.72,8.35,2000-03-16,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.27,-0.76,12.77,0.33,1.74,4.12,44.45,78.58,18.26,2000-03-17,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
4.4,-2.87,11.68,0.11,1.82,3.93,37.47,78.68,20.64,2000-03-18,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
4.85,-2.02,12.45,0.0,1.67,3.68,26.95,79.04,23.07,2000-03-19,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
5.73,-1.13,13.63,0.0,1.67,3.17,26.68,78.92,18.55,2000-03-20,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
6.46,-0.06,13.8,0.0,1.63,3.09,32.93,78.96,19.9,2000-03-21,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
6.64,0.83,13.84,0.0,1.57,3.6,36.15,79.01,19.37,2000-03-22,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
7.68,0.02,16.26,0.0,1.6,4.23,27.5,79.06,23.82,2000-03-23,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
8.9,1.85,17.64,0.0,1.84,4.52,26.16,79.49,23.8,2000-03-24,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
13.37,4.45,23.63,0.0,1.65,2.94,23.58,79.45,20.16,2000-03-25,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
13.93,5.23,22.62,0.0,1.75,3.87,25.59,79.45,24.12,2000-03-26,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
12.33,7.28,18.61,2.08,1.05,2.15,36.95,79.43,17.01,2000-03-27,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
12.35,5.31,19.3,1.16,1.44,3.34,41.31,79.44,13.79,2000-03-28,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
10.15,5.87,15.72,6.26,1.17,2.6,57.55,79.47,10.29,2000-03-29,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
9.23,5.06,15.67,0.32,1.28,2.65,58.73,79.34,10.25,2000-03-30,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
8.2,4.0,14.09,0.98,1.5,2.88,61.47,79.14,9.56,2000-03-31,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
9.86,2.25,17.44,0.11,1.55,2.68,43.46,79.13,23.87,2000-04-01,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
11.4,1.65,20.44,0.0,1.76,3.12,27.26,78.97,25.14,2000-04-02,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
11.61,4.53,19.31,0.0,2.1,4.62,27.91,78.83,24.72,2000-04-03,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
10.82,4.09,18.39,0.0,2.48,5.64,24.45,78.75,18.08,2000-04-04,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
10.42,1.02,19.86,0.0,1.77,3.35,21.48,78.86,25.62,2000-04-05,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
11.41,3.11,19.44,0.0,1.8,3.69,17.7,78.88,24.8,2000-04-06,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
10.92,6.27,16.9,0.0,1.58,3.25,30.41,79.15,11.08,2000-04-07,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
12.42,4.01,21.16,0.0,1.57,3.05,30.29,79.21,24.48,2000-04-08,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
14.11,2.32,24.37,0.0,1.46,3.36,17.44,79.0,26.45,2000-04-09,swat,"Swat District, Khyber Pakhtunkhwa",34.8091,72.3617,980
