Model,Accuracy,Precision,Recall,F1,AUC,Threshold,TP,FP,TN,FN
Logistic Regression (Balanced),0.9444591377942343,0.2683982683982684,0.6019417475728155,0.3712574850299401,0.9244101638184534,0.8476114444216073,62,169,3509,41
Random Forest (Balanced),0.9635017191219254,0.3793103448275862,0.5339805825242718,0.4435483870967742,0.9419587471029527,0.8439806250938341,55,90,3588,48
Gradient Boosting (Calibrated),0.9748743718592965,0.55,0.42718446601941745,0.4808743169398907,0.9502037831873592,0.3217893217893218,44,36,3642,59
