Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Specificity
Logistic Regression,0.9991311902693311,0.0,0.0,0.0,0.8243478260869566,1.0
Random Forest,0.9991311902693311,0.0,0.0,0.0,0.8643478260869566,1.0
